CHILD_ID,PARENT_ID
KWZR-1R1,KWC5-1KC
LFDN-3NN,KWZ9-TQS
KWH9-13L,KWCC-1QN
LFDN-3X3,KWCK-WH3
KWZR-1R1,KWC5-1KZ
LFDN-3NN,KW87-16M
KWH9-13L,KWCC-1QJ
LFDN-3X3,KWZ8-XK4
KWC5-1KC,K2HC-XB4
KWZ9-TQS,KWZ6-FK4
KWCC-1QN,KWCC-1QL
KWCK-WH3,KWCK-WH7
KWC5-1KC,LH3R-146
KWZ9-TQS,KWZ6-FKC
KWCC-1QN,KWCC-1Q5
KWCK-WH3,KWCK-WHW
KWC5-1KZ,KWC8-2FX
KW87-16M,KWBB-X5T
KWCC-1QJ,KWCC-1QB
KWZ8-XK4,KWNJ-6N5
KWC5-1KZ,KWC8-2FV
KW87-16M,KWBB-X5Y
KWCC-1QJ,KWCC-1Q1
KWZ8-XK4,KWNJ-6NR
K2HC-XB4,LCZ6-JR1
KWZ6-FK4,KWJC-2L5
KWCC-1QL,KWJ7-7PL
KWCK-WH7,K2FR-5TD
K2HC-XB4,LCZ6-VWW
KWZ6-FK4,KWJC-2LR
KWCC-1QL,KWJ7-7PR
KWCK-WH7,LZ2S-B7H
LH3R-146,KWJC-PT2
KWZ6-FKC,LX32-W31
KWCC-1Q5,KWJZ-LXM
KWCK-WHW,KWJW-9FC
LH3R-146,KWJX-BRX
KWZ6-FKC,LX32-WKG
KWCC-1Q5,KWJZ-LX9
KWCK-WHW,KWJW-9F8
KWC8-2FX,KWJF-GCC
KWBB-X5T,KWBB-XLP
KWCC-1QB,KWZS-MWX
KWNJ-6N5,KWCH-XF8
KWC8-2FX,KWJF-GC8
KWBB-X5T,KWBB-XL5
KWCC-1QB,KWZS-MWN
KWNJ-6N5,KWCH-XFD
KWC8-2FV,KWJD-TBW
KWBB-X5Y,KFTV-NWX
KWCC-1Q1,KWCV-4BD
KWNJ-6NR,K2HX-YJY
KWC8-2FV,KLLR-SNH
KWBB-X5Y,LH21-VDF
KWCC-1Q1,KWCV-4B6
KWNJ-6NR,K2HF-Q5Z
LCZ6-JR1,KFB8-QPS
KWJC-2L5,LXQ3-HFB
KWJ7-7PL,KWJ7-7PG
K2FR-5TD,LHRS-GGR
LCZ6-JR1,LCVF-JHQ
KWJC-2L5,LXQ3-HNK
KWJ7-7PL,KWJ7-7P5
K2FR-5TD,LZV5-YZZ
LCZ6-JR1,LCVF-JTP
KWJC-2LR,KWVQ-9R2
KWJ7-7PR,KWJ7-D7T
LZ2S-B7H,L457-22L
LCZ6-VWW,LH1P-JVR
KWJC-2LR,LZKL-PVN
KWJ7-7PR,KWJ7-D7B
LZ2S-B7H,LHW8-8ZN
LCZ6-VWW,LCZ6-J1V
LX32-W31,9QPR-DJC
KWJZ-LXM,KWJY-LB5
KWJW-9FC,KWJ7-Y9Y
KWJC-PT2,94ZR-DVZ
LX32-W31,LX32-WDH
KWJZ-LXM,KWJY-LBR
KWJW-9FC,2ZS9-CG1
KWJC-PT2,LCZ6-V63
LX32-WKG,KNSP-VYH
KWJZ-LXM,L7JP-HHD
KWJW-9F8,KWVC-ZN6
KWJX-BRX,LH1P-NV3
LX32-WKG,LX32-813
KWJZ-LX9,KWN2-N6T
KWJW-9F8,LQRW-ZMY
KWJX-BRX,LH1P-N5C
KWBB-XLP,KWVP-V58
KWJZ-LX9,KWVW-PTT
KWCH-XF8,KWNF-DHC
KWJF-GCC,L4W8-CNP
KWBB-XLP,L7KM-DJM
KWZS-MWX,KWJY-9BJ
KWCH-XF8,KWNF-DH8
KWJF-GCC,LZFQ-NMH
KWBB-XL5,L48S-PMH
KWZS-MWX,KWJY-9BK
KWCH-XFD,KWJJ-B98
KWJF-GC8,LZJJ-36C
KWBB-XL5,LZCR-R9Y
KWZS-MWN,KWJW-9WL
KWCH-XFD,KWJR-XTQ
KWJF-GC8,LZJJ-Q9B
KFTV-NWX,K2WQ-LDX
KWZS-MWN,LZT7-8LR
K2HX-YJY,LC3F-3N8
KWJD-TBW,LH1P-LLK
KFTV-NWX,LH21-K31
KWCV-4BD,KWJF-7B3
K2HX-YJY,LCT6-9KG
KWJD-TBW,LCX8-L9Q
LH21-VDF,2W9W-JX3
KWCV-4BD,KWJR-K5N
K2HF-Q5Z,KWJD-V1R
KLLR-SNH,LH5T-HTK
LH21-VDF,LHXG-CRW
KWCV-4B6,KWJZ-G9D
K2HF-Q5Z,KFVM-FRR
KLLR-SNH,LZP9-868
KWVP-V58,L48S-CTQ
KWCV-4B6,KWJZ-G96
LHRS-GGR,27JP-RXF
LZP9-868,KH6D-43V
KWVP-V58,LZBG-Z3G
KWJZ-G96,L7JX-2H2
LHRS-GGR,L7GN-NP5
LZP9-868,LH1T-YL9
L7KM-DJM,L4R8-HZL
KWJZ-G96,LHXW-V36
LZV5-YZZ,LHRS-G22
LH1P-N5C,MNGF-RZ3
L7KM-DJM,LH5C-6KG
KWJ7-7PG,LCRW-MDZ
LZV5-YZZ,LHRS-GLZ
LH1P-N5C,M2TN-848
L48S-PMH,LZJ7-D3C
KWJ7-7PG,LZLL-2KK
L457-22L,LZF1-ZLF
LH1P-N5C,LZK8-G3J
L48S-PMH,LZJ7-D31
KWJ7-7P5,M9YH-TC1
L457-22L,LZF1-ZG5
L4W8-CNP,LC1Y-LK1
LZCR-R9Y,271W-7FK
KWJ7-7P5,LCTH-YXM
L457-22L,LFQ6-JC8
L4W8-CNP,LC1Y-LLP
LZCR-R9Y,LZGH-H51
KWJ7-D7T,LZDT-4ZM
LHW8-8ZN,LH4D-PB8
LZFQ-NMH,LZFR-PDL
K2WQ-LDX,K2WQ-L7V
KWJ7-D7T,L8WC-PQD
LHW8-8ZN,LZD5-27R
LZFQ-NMH,LZFR-PFK
K2WQ-LDX,K2WQ-LW5
KWJ7-D7B,LHC7-TQ1
KWJ7-Y9Y,MVBR-NVN
